,Eu,Nb,Yb
@module,pymatgen.entries.computed_entries,pymatgen.entries.computed_entries,pymatgen.entries.computed_entries
energy,-786.99743233,-1003.89286054,-255.07769008
entry_id,,,
composition,"{'O': 48.0, 'Eu': 32.0}","{'O': 80.0, 'Nb': 32.0}","{'O': 24.0, 'Yb': 16.0}"
data,{},{},{}
