,data_type,garnet_formula
151,mixed,NdMg2Ge2Al3O12
152,mixed,NdMg2Ge2Al3O12
153,mixed,NdMg2Ge2Al3O12
154,mixed,NdMg2Ge2Al3O12
155,mixed,NdMg2Ge2Al3O12
156,mixed,NdMg2Ge2Al3O12
157,mixed,NdMg2Ge2Al3O12
158,mixed,NdMg2Ge2Al3O12
159,mixed,NdMg2Ge2Al3O12
160,mixed,SmZn2Zr2Al3O12
161,mixed,SmZn2Zr2Al3O12
162,mixed,SmZn2Zr2Al3O12
163,mixed,SmZn2Zr2Al3O12
164,mixed,SmZn2Zr2Al3O12
165,mixed,SmZn2Zr2Al3O12
166,mixed,SmZn2Zr2Al3O12
167,mixed,SmZn2Zr2Al3O12
168,mixed,SmZn2Zr2Al3O12
169,mixed,SmZn2Zr2Al3O12
170,mixed,SmZn2Zr2Al3O12
171,mixed,SmZn2Zr2Al3O12
172,mixed,SmZn2Zr2Al3O12
173,mixed,SmZn2Zr2Al3O12
174,mixed,SmZn2Zr2Al3O12
175,mixed,SmZn2Zr2Al3O12
176,mixed,SmZn2Zr2Al3O12
177,mixed,SmZn2Zr2Al3O12
178,mixed,SmZn2Zr2Al3O12
179,mixed,SmZn2Zr2Al3O12
180,mixed,LuMg2Ge2Al3O12
181,mixed,LuMg2Ge2Al3O12
182,mixed,LuMg2Ge2Al3O12
183,mixed,LuMg2Ge2Al3O12
184,mixed,LuMg2Ge2Al3O12
185,mixed,LuMg2Ge2Al3O12
186,mixed,LuMg2Ge2Al3O12
187,mixed,LuMg2Ge2Al3O12
188,mixed,LuMg2Ge2Al3O12
189,mixed,LuMg2Ge2Al3O12
190,mixed,LuMg2Ge2Al3O12
191,mixed,LuMg2Ge2Al3O12
192,mixed,LuMg2Ge2Al3O12
193,mixed,LuMg2Ge2Al3O12
194,mixed,LuMg2Ge2Al3O12
195,mixed,LuMg2Ge2Al3O12
196,mixed,LuMg2Ge2Al3O12
197,mixed,LuMg2Ge2Al3O12
198,mixed,LuMg2Ge2Al3O12
199,mixed,LuMg2Ge2Al3O12
200,mixed,SmMg2Sn2Ga3O12
201,mixed,SmMg2Sn2Ga3O12
202,mixed,SmMg2Sn2Ga3O12
203,mixed,SmMg2Sn2Ga3O12
204,mixed,SmMg2Sn2Ga3O12
205,mixed,SmMg2Sn2Ga3O12
206,mixed,SmMg2Sn2Ga3O12
207,mixed,SmMg2Sn2Ga3O12
208,mixed,SmMg2Sn2Ga3O12
209,mixed,SmMg2Sn2Ga3O12
210,mixed,SmMg2Sn2Ga3O12
211,mixed,SmMg2Sn2Ga3O12
212,mixed,SmMg2Sn2Ga3O12
213,mixed,SmMg2Sn2Ga3O12
214,mixed,SmMg2Sn2Ga3O12
215,mixed,SmMg2Sn2Ga3O12
216,mixed,SmMg2Sn2Ga3O12
